,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter
1,1011AB,1011AB,25,100,68,100,28,3x25,14592,20,0
2,1011AC,1011AC,33,100,"69,7",100,30,3x25,11278,"12,12",0
4,1011AD,1011AD,21,100,"23,81",100,57,3x25,4270,"38,1",0
6,1011AE,1011AE,19,100,"36,84",100,68,3x25,3232,"26,32",0
7,1011AG,1011AG,12,100,"91,67",100,58,3x25,24266,"41,67",0
9,1011AH,1011AH,21,100,100,100,67,1x25,5106,"14,29",0
10,1011AJ,1011AJ,18,100,"94,44",100,39,1x25,9606,"11,11",0
12,1011AK,1011AK,13,100,"84,62",100,54,3x25,9133,"23,08",0
13,1011AL,1011AM,14,100,"92,86",100,43,3x25,6587,"42,86",0
15,1011AN,1011AN,28,100,"96,43",100,32,3x25,2724,"14,29",0
16,1011AP,1011AP,20,100,95,100,50,1x35,4997,15,0
18,1011AR,1011AR,33,100,"93,94",100,42,1x25,7654,"21,21",0
20,1011AS,1011AS,13,100,"84,62",100,46,3x25,4144,"15,38",0
22,1011AT,1011AT,17,100,100,100,41,3x25,7465,"23,53",0
23,1011AV,1011AV,18,100,"88,89",100,50,3x25,4697,"16,67",0
24,1011AW,1011AW,21,100,"95,24",100,62,1x25,2775,"9,52",0
26,1011AX,1011AX,15,100,"86,67",100,53,3x25,4219,"6,67",0
28,1011AZ,1011AZ,14,100,100,100,43,1x35,3593,"14,29",0
30,1011BA,1011BA,10,100,30,100,40,3x25,1077,10,0
32,1011BB,1011BC,24,100,"95,83",100,50,1x35,3917,"16,67",0
33,1011BD,1011BD,22,100,"77,27",100,68,3x25,4296,0,0
35,1011BE,1011BE,10,100,90,100,70,3x25,2379,0,0
37,1011BG,1011BG,17,100,"70,59",100,82,3x25,2490,"11,76",0
38,1011BH,1011BH,32,100,"93,75",100,59,3x25,2900,"15,63",0
39,1011BJ,1011BJ,21,100,"90,48",100,48,1x25,6968,"23,81",0
41,1011BK,1011BK,16,100,100,100,50,3x25,2690,0,0
43,1011BL,1011BM,23,100,100,100,87,1x25,1895,0,0
45,1011BN,1011BN,21,100,"71,43",100,76,3x25,3254,0,0
47,1011BP,1011BP,17,100,"88,24",100,76,3x25,3462,"5,88",0
49,1011BR,1011BR,15,100,100,100,53,1x25,2907,"13,33",0
51,1011BS,1011BS,26,100,"76,92",100,62,3x25,2738,"7,69",0
53,1011BT,1011BT,31,100,"93,55",100,52,3x25,2553,"3,23",0
55,1011BV,1011BV,20,100,70,100,50,3x25,2649,0,0
57,1011BW,1011BW,33,100,100,100,55,3x25,2360,"3,03",0
59,1011BX,1011BX,22,100,100,100,100,1x25,1673,0,0
61,1011BZ,1011BZ,28,100,"92,86",100,54,1x25,3985,"7,14",0
63,1011CA,1011CA,37,100,"56,76",100,73,3x25,1780,0,0
65,1011CB,1011CB,23,100,"86,96",100,57,1x25,2691,0,0
67,1011CC,1011CC,21,100,100,100,57,1x25,2578,"4,76",0
70,1011CD,1011CD,17,100,"94,12",100,76,1x25,2078,0,0
71,1011CE,1011CE,12,"91,67","83,33",100,50,3x25,2770,0,0
73,1011CG,1011CH,28,100,"92,86",100,46,3x25,10276,"14,29",0
74,1011CJ,1011CJ,16,100,100,100,81,1x25,5347,"12,5",0
76,1011CK,1011CK,14,100,100,100,86,1x25,2453,0,0
78,1011CL,1011CL,10,100,100,100,80,1x25,1568,0,0
80,1011CM,1011CM,63,100,"82,54",100,33,1x25,2608,"4,76",0
81,1011CN,1011CR,28,100,"92,86",100,50,1x25,3559,"7,14",0
83,1011CS,1011CS,26,100,100,100,69,1x25,1827,0,0
85,1011CT,1011CT,18,100,"88,89",100,44,3x25,2826,0,0
87,1011CV,1011CV,18,100,100,100,83,1x25,2105,"5,56",0
89,1011CW,1011CW,15,100,100,100,53,1x25,2577,0,0
91,1011CX,1011CX,19,100,100,100,68,1x25,2457,0,0
93,1011CZ,1011CZ,20,100,95,100,65,1x25,2206,0,0
95,1011DB,1011DB,10,100,100,100,90,1x25,6515,10,0
97,1011DC,1011DD,62,100,"35,48",100,95,1x35,4297,0,"33,87"
98,1011DK,1011DL,33,100,"96,97",100,82,1x35,4691,0,0
100,1011DZ,1011EA,52,100,"80,77",100,69,1x25,3047,"7,69",0
101,1011EB,1011EB,24,100,100,100,88,1x25,1609,0,0
103,1011EC,1011EC,19,100,"89,47",100,47,1x25,6454,"21,05",0
105,1011ED,1011ED,14,100,100,100,86,1x25,2322,0,0
107,1011EE,1011EE,16,100,100,100,100,1x25,1877,0,0
109,1011EG,1011EG,22,100,"95,45",100,82,1x25,1710,0,0
111,1011EH,1011EH,38,100,"94,74",100,76,1x25,3221,"5,26",0
113,1011EJ,1011EJ,46,100,"91,3",100,41,1x25,5476,"4,35",0
116,1011EK,1011EK,26,100,"96,15",100,58,1x25,6180,"7,69",0
117,1011EL,1011EL,47,100,"87,23",100,57,1x25,4702,"12,77",0
119,1011EM,1011EM,23,100,"91,3",100,48,1x25,5374,"8,7",0
121,1011EN,1011EN,30,100,"96,67",100,70,1x25,7374,"16,67",0
123,1011ER,1011ER,10,100,100,100,40,1x25,3810,0,0
125,1011ES,1011ET,42,100,100,100,60,1x25,5600,"14,29",0
126,1011EV,1011EW,47,100,100,100,53,3x25,3793,"4,26",0
128,1011EX,1011EX,27,100,100,100,63,1x25,2033,"3,7",0
130,1011EZ,1011EZ,13,100,"69,23",100,54,3x25,1951,0,0
132,1011GA,1011GA,28,100,"92,86",100,75,1x25,2491,"14,29",0
133,1011GB,1011GC,21,100,"76,19",100,48,1x25,1934,0,0
135,1011GD,1011GD,52,100,"96,15",100,56,1x35,2646,"1,92",0
136,1011GG,1011GG,22,100,100,100,73,1x25,1609,"4,55",0
138,1011GH,1011GH,24,100,100,100,71,1x25,1352,0,0
140,1011GJ,1011GJ,18,100,100,100,83,1x25,2337,0,0
142,1011GK,1011GL,92,100,"96,74",100,62,1x25,1971,"5,43",0
144,1011GM,1011GM,21,100,"95,24",100,86,1x25,2214,"4,76",0
146,1011GN,1011GN,26,100,100,100,96,1x25,1553,"3,85",0
148,1011GP,1011GP,13,100,100,100,77,1x25,1212,0,0
150,1011GR,1011GR,33,100,100,100,64,3x25,2065,"9,09",0
151,1011GS,1011GS,42,100,"95,24",100,43,1x25,4356,"11,9",0
153,1011GT,1011GT,13,100,100,100,77,1x25,2674,"7,69",0
155,1011GV,1011GV,20,100,85,100,45,1x25,1946,10,0
157,1011GW,1011GW,13,100,"92,31",100,46,3x25,7479,"7,69",0
159,1011GX,1011GX,17,100,100,100,94,1x25,1298,0,0
160,1011GZ,1011GZ,38,100,100,100,95,1x25,1398,0,0
162,1011HA,1011HB,224,100,"99,11",100,61,1x25,3478,"10,71",0
164,1011HC,1011HC,51,100,"74,51",100,57,1x25,3150,"3,92",0
166,1011HD,1011HD,24,100,"58,33",100,75,1x25,6737,"12,5",0
168,1011HE,1011HE,19,100,100,100,58,1x25,5716,"5,26",0
170,1011HG,1011HG,28,100,100,100,54,3x25,4542,"21,43",0
172,1011HH,1011HH,20,100,100,100,90,3x25,2323,5,0
174,1011HJ,1011HJ,16,100,100,100,50,3x25,2551,"12,5",0
176,1011HK,1011HK,10,100,100,100,70,1x25,2771,20,0
178,1011HL,1011HL,21,100,100,100,52,3x25,1921,0,0
180,1011HM,1011HP,27,100,"92,59",100,78,3x25,3014,0,0
182,1011HR,1011HR,48,100,100,100,77,1x25,4186,"6,25",0
184,1011HS,1011HS,44,100,"95,45",100,45,1x25,2658,"4,55",0
186,1011HT,1011HT,21,100,100,100,57,1x25,3087,"14,29",0
188,1011HV,1011HV,22,100,100,100,59,1x25,2591,0,0
190,1011HW,1011HW,29,100,"96,55",100,59,1x25,1990,"10,34",0
192,1011HX,1011HX,13,100,"92,31",100,54,1x25,2502,"7,69",0
194,1011HZ,1011HZ,42,100,100,100,69,1x25,3864,"16,67","2,38"
196,1011JA,1011JA,24,100,"95,83",100,58,1x25,2175,"4,17",0
198,1011JB,1011JB,40,100,100,100,85,3x25,2335,"7,5",0
200,1011JC,1011JG,22,100,"95,45",100,55,3x25,1916,"4,55",0
202,1011JH,1011JH,97,100,"89,69",100,45,3x25,3778,"5,15",0
203,1011JJ,1011JJ,12,100,"83,33",100,42,1x25,6309,"16,67",0
205,1011JK,1011JK,11,100,"90,91",100,64,3x25,7427,"18,18",0
207,1011JL,1011JL,29,100,100,100,66,1x25,8332,"13,79",0
209,1011JM,1011JM,14,100,"71,43",100,64,1x25,5149,"7,14",0
211,1011JN,1011JN,18,100,100,100,61,1x25,3557,"5,56",0
213,1011JP,1011JP,14,100,100,100,43,1x25,8790,"28,57",0
215,1011JR,1011JR,13,100,100,100,85,1x25,8247,"15,38",0
217,1011JS,1011JT,27,100,"85,19",100,33,3x25,19159,"18,52",0
219,1011JV,1011JV,18,100,"94,44",100,39,1x25,2279,"5,56",0
221,1011JW,1011JW,10,100,100,100,50,1x25,8695,40,0
223,1011JX,1011JX,16,100,"93,75",100,69,1x25,4109,25,0
224,1011JZ,1011JZ,19,100,100,100,74,1x25,7120,"10,53",0
226,1011KA,1011KA,33,100,100,100,82,1x25,3460,"3,03",0
228,1011KB,1011KB,27,100,100,100,67,3x25,6750,"11,11",0
230,1011KC,1011KC,28,100,"92,86",100,54,1x25,3850,"10,71",0
232,1011KD,1011KD,16,100,100,100,50,3x25,8888,25,0
234,1011KE,1011KH,30,100,"96,67",100,47,3x25,5550,20,0
236,1011KJ,1011KJ,38,100,"97,37",100,50,1x25,2371,"2,63",0
238,1011KK,1011KK,32,100,"93,75",100,63,1x25,2098,"12,5",0
240,1011KL,1011KM,14,100,"92,86",100,50,1x25,4875,"21,43",0
242,1011KN,1011KN,22,100,100,100,59,1x25,2761,"13,64",0
244,1011KP,1011KP,31,100,"70,97",100,45,3x25,2341,0,0
246,1011KR,1011KR,23,100,"82,61",100,52,1x25,2496,"8,7",0
248,1011KS,1011KS,15,100,100,100,53,3x25,3044,"6,67",0
